cat,child,dog,home_alone,pet_age,pet_breed,pet_id,pet_location,pet_name,pet_sex
2,4,3,4,3.58,"Catahoula Leopard Dog / Shepherd, German",APA-A-70081,Foster,Prada,Female
0,0,0,0,3.0,American Blue Heeler / Mix,APA-A-75941,Foster,Baby,Female
0,0,0,0,10.0,"Retriever, Labrador / Mix",APA-A-75985,TLAC,AJ,Male
4,4,2,4,2.33,Hound / Mix,APA-A-72847,TLAC,Griggs,Male
0,0,0,0,2.0,"Terrier, Pit Bull / Retriever, Labrador",APA-A-75983,TLAC,Opie,Male
0,4,0,0,9.0,"Retriever, Chocolate Labrador",APA-A-75989,TLAC,Grizzly,Male
0,0,0,0,10.0,Chihuahua / Mix,APA-A-75987,Foster,Potato Ole,Male
0,2,2,5,10.08,Shepherd / Mix,APA-A-5344,TLAC,Izzy,Female
0,0,0,0,2.0,"Retriever, Black Labrador",APA-A-75992,Foster,Nala,Female
0,0,0,0,4.0,Hound / Mix,APA-A-75993,Foster,Honey,Female
0,3,2,3,2.17,"Malinois, Belgian / Mix",APA-A-76012,Foster,Jerry,Male
4,0,4,2,0.33,"Terrier, Pit Bull / Mix",APA-A-76022,TLAC,Jermaine,Male
4,0,4,2,0.33,"Terrier, Pit Bull / Mix",APA-A-76023,TLAC,Jackie,Female
4,0,4,2,0.33,"Terrier, Pit Bull / Mix",APA-A-76024,TLAC,Randy,Male
4,0,4,2,0.33,Pointer / Mix,APA-A-76040,TLAC,Hunter,Male
0,0,0,4,1.0,"Terrier, Pit Bull / Mix",APA-A-76056,TLAC,Freddie Mercury,Male
3,0,3,4,3.67,Mixed Breed (Medium) / Mixed Breed (Medium),APA-A-71024,TLAC,Oli Sykes,Male
0,0,0,0,1.0,"Terrier, Pit Bull",APA-A-76047,TLAC,Frank Sinatra,Male
0,0,3,0,1.08,Blue Lacy / Mix,APA-A-75482,TLAC,India Opal,Female
0,0,0,0,6.0,Pointer / Mix,APA-A-76062,Foster,Aubrey,Female
0,0,0,3,1.5,Rottweiler,APA-A-76063,Foster,Ringo,Male
0,0,2,4,1.58,"Terrier, Pit Bull / Mix",APA-A-56883,TLAC,Paz,Female
2,1,1,5,5.75,Mixed Breed (Medium) / Mix,APA-A-40179,TLAC,Rufus,Male
4,0,4,2,0.42,"Shepherd, German / Mix",APA-A-76111,TLAC,Callie,Female
4,0,4,2,0.17,Dachshund / Terrier,APA-A-76103,TLAC,Tango,Male
3,2,2,5,2.33,"Terrier, Pit Bull / Mix",APA-A-53573,TLAC,Mary Pitt,Female
4,0,4,2,0.17,Dachshund / Terrier,APA-A-76104,Foster,Barker,Male
4,0,4,2,0.17,Dachshund / Terrier,APA-A-76105,Foster,Stump,Male
4,0,4,2,0.17,Dachshund / Terrier,APA-A-76106,Foster,Reese,Female
4,0,4,2,0.17,Dachshund / Terrier,APA-A-76108,Foster,Lavigne,Female
0,3,4,3,7.0,Chihuahua / Mix,APA-A-76039,Tarrytown,Jiggy,Male
4,0,4,2,0.17,Dachshund / Terrier,APA-A-76109,Foster,Jett,Female
4,0,4,2,0.17,Dachshund / Terrier,APA-A-76110,Foster,Foxy,Female
0,3,3,3,7.83,Mixed Breed (Small),APA-A-76129,Tarrytown,JFK,Male
4,0,4,2,0.33,"Cattle Dog, Australian (Red Heeler)",APA-A-74381,Foster,Missy,Female
0,0,0,0,3.67,Black Mouth Cur / Mix,APA-A-76127,Foster,Smile,Female
4,3,4,4,5.5,Cattle Dog / Mix,APA-A-76126,Foster,Shaamus,Male
0,2,0,0,7.25,Chihuahua / Mix,APA-A-76131,Tarrytown,Security,Male
4,0,4,2,0.42,"Retriever, Labrador / Mix",APA-A-76128,Foster,Casper,Male
0,0,0,0,7.0,Chihuahua / Mix,APA-A-76146,Tarrytown,Phyllis,Female
0,0,3,0,2.0,"Retriever, Labrador / Pyrenees, Great",APA-A-76151,TLAC,Cota,Male
0,4,1,5,5.5,"Hound, Plott / Mix",APA-A-27139,TLAC,Azra,Female
0,0,0,0,6.67,"Terrier, Pit Bull / Mix",APA-A-76183,TLAC,Allie,Female
4,0,4,2,0.17,"Pointer / Retriever, Black Labrador",APA-A-76187,TLAC,Eloise,Female
0,0,0,0,10.0,"Terrier, Rat / Chihuahua",APA-A-76184,Tarrytown,Ted,Male
0,0,0,0,6.67,"Terrier, Pit Bull / Mix",APA-A-76183,TLAC,Allie,Female
4,0,4,2,0.17,"Pointer / Retriever, Black Labrador",APA-A-76187,TLAC,Eloise,Female
4,0,4,2,0.17,Mixed Breed (Medium),APA-A-76157,Foster,Casablanca,Female
4,0,4,2,0.17,Mixed Breed (Medium),APA-A-76159,Foster,Vertigo,Female
4,0,4,2,0.17,Mixed Breed (Medium),APA-A-76160,Foster,The Wiz,Female
4,0,4,2,0.17,Mixed Breed (Medium),APA-A-76161,Foster,Lemon,Female
0,0,0,0,6.08,Shepherd / Mixed Breed (Medium),APA-A-76178,Foster,Maggie Shepherd,Female
0,0,0,0,1.5,"Terrier, Pit Bull / Mix",APA-A-76224,Foster,Chanel,Female
4,0,4,2,0.33,"Retriever, Labrador",APA-A-76226,TLAC,Highland,Male
1,3,3,4,1.67,"Shepherd, Belgian Malinois / Mix",APA-A-61107,TLAC,Rex,Male
4,0,4,2,0.33,"Retriever, Labrador / Mix",APA-A-76249,TLAC,Marley,Female
4,0,4,2,0.42,Hound / Mix,APA-A-76227,Foster,Little Sarah,Female
4,0,3,3,1.5,"Retriever, Curly-Coated / Mix",APA-A-65819,TLAC,Mikey,Male
0,0,0,3,1.08,"Boxer / Terrier, Pit Bull",APA-A-75668,TLAC,Dan,Male
0,0,0,0,6.0,Mastiff,APA-A-76250,Foster,Joe,Male
0,0,0,0,3.0,"Terrier, Pit Bull / Mix",APA-A-76283,TLAC,Noah,Male
0,0,0,0,0.67,Cattle Dog / Mix,APA-A-76307,TLAC,Givenchy,Female
0,0,0,0,1.5,"Collie, Smooth / Mix",APA-A-76308,TLAC,Tootles,Female
5,2,3,5,4.25,Hound / Mix,APA-A-32756,TLAC,Napoleon,Male
0,0,3,0,3.08,Mixed Breed (Medium),APA-A-75389,TLAC,Eva,Female
0,0,0,0,0.83,"Retriever, Labrador / Mix",APA-A-76284,Foster,Khloe,Female
4,4,4,4,2.0,"Retriever, Labrador / Mix",APA-A-76305,TLAC,Chocolate,Male
0,0,0,0,10.0,"Retriever, Yellow Labrador",APA-A-76286,Foster,Sr Butter,Female
3,0,3,3,1.0,"Beagle / Retriever, Labrador",APA-A-76303,TLAC,Niko,Male
0,0,0,0,3.0,Catahoula Leopard Dog,APA-A-76287,Foster,Razen,Female
0,0,0,0,1.0,Beagle / Pointer,APA-A-76304,TLAC,Gabby,Female
0,0,0,0,0.67,Cattle Dog / Mix,APA-A-76307,TLAC,Givenchy,Female
0,0,0,0,1.5,"Collie, Smooth / Mix",APA-A-76308,TLAC,Tootles,Female
0,0,4,3,2.0,"Hound, Basset / Mix",APA-A-76340,TLAC,Denzel,Male
0,0,0,0,2.0,"Sheepdog, Old English / Mix",APA-A-76328,TLAC,Apple Pie,Female
0,0,0,0,4.0,"Shepherd, German",APA-A-76333,TLAC,Quasimodo,Male
0,0,0,0,1.5,"Terrier, Pit Bull / Mix",APA-A-76330,TLAC,Skippy,Male
0,0,0,0,3.0,Black Mouth Cur / Mix,APA-A-76334,TLAC,Sonny,Male
0,0,0,0,0.83,Pointer / Mix,APA-A-76331,TLAC,Malik,Male
4,0,4,2,0.42,"Retriever, Labrador / Mix",APA-A-76332,TLAC,Nickolas,Male
0,0,0,0,0.5,"Retriever, Labrador",APA-A-76335,TLAC,Luna,Female
0,0,0,0,2.5,Terrier / Mix,APA-A-76324,Tarrytown,Raggedy Ann,Female
4,0,4,2,0.33,"Hound, Plott / Mix",APA-A-76339,TLAC,Nadine,Female
0,0,0,0,4.0,Terrier / Chihuahua,APA-A-76323,Tarrytown,Marcella,Female
0,3,0,0,2.5,Terrier / Mix,APA-A-76325,Tarrytown,Raggedy Andy,Male
4,0,4,2,0.33,"Retriever, Labrador / Mix",APA-A-76352,Foster,Amethyst,Female
0,0,0,0,0.5,"Kelpie, Australian / Mix",APA-A-76358,TLAC,Cindy Lou,Female
0,0,0,0,0.5,"Kelpie, Australian / Mix",APA-A-76359,TLAC,Betty Sue,Female
4,0,4,2,0.17,Shepherd,APA-A-76337,Foster,Serrano,Female
4,0,4,2,0.17,Shepherd,APA-A-76338,Foster,Poblano,Male
4,0,4,2,0.33,"Retriever, Labrador / Mix",APA-A-76353,Foster,Moonstone,Male
0,0,0,0,2.67,"Retriever, Yellow Labrador",APA-A-76341,Foster,Maya,Female
4,0,4,2,0.33,"Retriever, Labrador / Mix",APA-A-76351,Foster,Obsidian,Male
